ratio	n	bal1	wo1	bern1
0.75	4521	1.8636147964613254e-05	4.990448415675761e-06	3.0779300003497215e-06
1	4521	5.193867455591643e-06	2.4672550276962863e-09	1.2545033032473067e-08
1	4521	1.2149379529431215e-07	4.120859402972282e-09	9.521705919044576e-08
1	4521	6.15269828242095e-08	4.750111184613245e-06	2.296779679964809e-06
1	4521	5.431192493230807e-08	9.546132522346874e-10	5.858729957877097e-11
1	4521	1.7263709577227976e-05	3.1022308595287446e-06	2.1705856947128634e-06
0.1	4521	4.4465154200492744e-07	2.7330621723382894e-05	2.0381696576094688e-06
0.1	4521		0.0001596150199124878	5.155635630057887e-05
0.1	4521		3.827086185615662e-06	7.717658744845744e-05
0.1	4521		0.00014436802928600198	2.2058335427800374e-05
0.1	4521		0.00010315461836618297	0.00013207743603087414
0.1	4521		4.577375592115001e-06	3.139009089291181e-05
0.1	4521		0.0002605696864685798	0.00041518244903028176
0.1	4521		8.61715507862284e-08	0.00027598722679675726
0.1	4521		0.0001289736787690306	1.869267576887188e-05
0.1	4521		0.00023655340346943145	0.0003343178621994026
0.2	4521	1.7728932093207752e-06	0.00022808506905013193	7.129538236339446e-08
0.2	4521		1.3551337675880895e-07	8.557998667243068e-06
0.2	4521		2.031067332630628e-05	1.6391685358869744e-06
0.2	4521		3.2954036106276417e-06	2.4780260596931288e-06
0.2	4521		2.14140998961507e-06	1.2588704708521915e-05
0.2	4521		7.241000766457825e-05	2.192951981148753e-06
0.2	4521		1.1775569071800926e-08	3.487993689341409e-06
0.2	4521		2.531023111867034e-07	1.1754770329344171e-05
0.2	4521		0.000168884487531387	8.80327231085597e-05
0.2	4521		0.00012665400114446495	1.6034387344286135e-05
0.5	4521	1.4238067483366242e-07	5.362618803107887e-06	2.6711510323196844e-06
0.5	4521		9.658585698156118e-08	1.1294667319435375e-07
0.5	4521		1.0761746423344141e-05	3.3881949230950074e-06
0.5	4521		1.1574116189921866e-10	2.235394317804463e-05
0.5	4521		1.8908900130332218e-06	6.12012697254269e-06
0.5	4521		2.346604348072276e-06	3.499224461322094e-06
0.5	4521		1.425775492338544e-06	8.340040057218966e-08
0.5	4521		3.558018454543168e-07	3.0142620182133124e-10
0.5	4521		2.1964818302873348e-06	1.2338507137852123e-05
0.5	4521		1.9151927320632867e-06	1.2227923092601894e-08
0.75	4521	5.332389028232364e-07	2.963656867323369e-08	3.358430110301446e-09
0.75	4521		3.925188833080409e-06	1.852281763906498e-05
0.75	4521		6.819124076628344e-06	2.2948226601566995e-07
0.75	4521		2.8456871959589427e-07	1.2777085518074317e-06
0.75	4521		1.2056887411016078e-06	1.7660358162687807e-06
0.75	4521		1.5531857825480904e-05	3.323647569333492e-07
0.75	4521		1.048476757320234e-06	3.218803592174892e-08
0.75	4521		1.5163297772137107e-07	3.2363396633158127e-10
0.75	4521		3.3301014539914504e-07	2.192591069760675e-06
0.75	4521		4.777396043528093e-07	5.438571807456234e-10
1	4521	7.133777582152061e-11	8.547336518052972e-08	5.557990801543883e-07
1	4521		8.232296689055336e-06	2.069078366570772e-08
1	4521		3.803352222687973e-09	3.3023619138688793e-07
1	4521		1.0245903543078891e-07	1.578727830551814e-06
1	4521		3.4410703124215164e-07	8.116922625175347e-06
1	4521		4.836482461011042e-07	2.8560138519771386e-07
1	4521		1.039597124384981e-05	3.489144267247024e-06
1	4521		1.8972896302029e-05	2.567867042936677e-07
1	4521		4.426337555907009e-08	1.6674400001199076e-06
1	4521		1.03279868987892e-06	1.3160714540186751e-08
0.75	4521		1.1429856088033182e-06	4.284478609371086e-06
0.75	4521		9.91862559381143e-07	9.095047469523023e-06
0.75	4521		2.4372333461354846e-07	4.331731017293921e-07
0.75	4521		4.4881677552331466e-07	2.1730950058799156e-06
