epsilon	n	bins	o_balanced	bell	ghazi	ghazi_shuffle
1	15	256	0.006299376353356393	422528.13574257615	3705572.038189496	0.015458651548320063
1	15	256	0.08494877193971115	10940.403113812654	4972594.822056799	0.1998624770126831
1	15	256	0.16549412575817	12638.327344823532	650932.538564553	0.07939101645464627
1	15	256	0.0017797700992185628	83698.9222292779	52774.40298153282	0.17674143465860867
1	15	256	0.0032531422686531202	431009.56889454566	8957454.1035827	0.19308660818751222
1	15	256	0.00447499719667871	74789.87034491636	1475193.581171675	0.01807661818610827
1	15	256	0.006271275562652493	8937.093366485145	6827072.7767545665	0.029352892983733267
1	20	256	0.14211060563368938	31429.451105314994	50305669.44580846	0.01095363525872048
1	20	256	0.006651764635736318	460376.4577576237	2144337.138680764	0.04832298621533258
1	20	256	0.05600574298400312	25214.577118474106	819477.9578677393	0.06594550356117897
1	20	256	0.11735406136191125	116057.21975820644	7475532.771717792	0.003152624429262801
1	20	256	0.009167095710385518	151383.65755277718	1909029.1410342362	0.06859919263970136
1	20	256	0.03756211452331495	414.9998777304081	394385.1007781173	0.27479077965146465
1	20	256	0.02693264147878023	6672.638990409044	184293.1012924443	0.016029774999649055
1	25	256	0.005928138568021304	2361.473797859625	13755.580901999034	0.0019395754643331457
1	25	256	0.00882216269966364	39089.695794077095	344.97954407822556	0.14181596964459375
1	25	256	0.029671353218215582	161945.36197887541	5043508.954697744	0.21465116306913815
1	25	256	0.005769333351409607	962.4112818052809	659166.6574742721	0.016864817329007777
1	25	256	0.025069464546262934	89555.14212542749	175.38388527532453	0.24933705161876074
1	25	256	0.0016312501549535564	9639.91561149812	4903816.4924260015	0.23102308777004713
1	25	256	0.05880339005789037	57282.99341910892	22814243.200404305	0.05797337666203771
1	30	256	0.015148859022168388	5383.794606990604	2437099.780106985	0.115949032286281
1	30	256	0.005991519882359615	57595.041354879846	714780.1440205993	0.1242044202795011
1	30	256	0.036982934479243494	386415.8433388252	7444836.476223223	0.04677258379814001
1	30	256	0.03204245809391326	263180.85990359756	80960.68191196618	0.003353957845129644
1	30	256	0.0019954969923874242	24034.98636008147	11531722.995929	0.14146577685522937
1	30	256	0.032129317124442294	38663.51203489665	21034406.454915605	0.020499641016376663
1	30	256	0.0201558993157234	76492.56835245294	301381.4130743541	0.014439663644872293
1	100	256	0.00013685333410661402	12320.76907590414	218489.31561220592	0.004526327137826582
1	100	256	1.7523638690345303e-05	2659.2892377725284	4166603.1578441015	0.005133294894545386
1	100	256	0.00018318726729950606	521.4029142796481	4011150.886560811	0.001132794722661292
1	100	256	9.362793484994379e-07	17997.842392193692	40086986.11385953	0.0015404852530465458
1	100	256	0.0002384130473923281	2534.627018247491	3873789.709098248	0.00037106378349152056
1	100	256	5.921324924798044e-05	50.51100472601689	2213273.9387856442	0.0008379857805566978
1	100	256	0.00037882402783305806	34352.37472820065	6166301.300800486	2.3726485614957724e-05
1	1000	256	9.495713140458014e-06	1.2737093756818695e-05	36187.51947119925	0.00028351470046182093
1	1000	256	1.0105698136663803e-06	9.13198606921938	6711.188996347967	3.965592183573945e-06
1	1000	256	5.18259425820288e-06	0.06940974174367315	3336.3444831748166	0.004747161143638048
1	1000	256	3.878541665183741e-06	22.18736092484656	23623.392040388768	1.4324189125339298e-05
1	1000	256	1.4185384894383135e-06	474.3198407299269	1918.9912503771548	0.0002588405249535775
1	1000	256	6.569814036377825e-06	108.59141984369333	60969.08679966274	0.0002822670405429352
1	1000	256	1.5599605354281135e-07	29.239079770779846	6820.337899436681	0.0006762383744616117
1	5000	256	5.094566519582235e-07	0.007868985060848864	1096.6650712671335	0.00047764887974828795
1	5000	256	2.1133097161649385e-08	1.0709605808132852	291.2087332151234	0.002581814337549829
1	5000	256	2.7954581406253476e-08	3.762816866441533	4574.12800454806	2.6959362125611124e-07
1	5000	256	3.596153907956144e-08	1.1684944156990287	4714.622038711972	0.0017571310979865756
1	5000	256	1.8744006491862577e-08	2.3562850196115295	27.281405544028857	0.0001260909666900784
1	5000	256	4.446643753570569e-09	1.1506401565463116	505.7077258634649	0.0021102794067407817
1	5000	256	1.8919679433370007e-06	6.285823529472559	3089.213314681433	2.9108621342835502e-06
1	7000	256	4.363770731675792e-07	0.4918350407300222	107.77998063286601	5.615784043252388e-05
1	7000	256	3.256448606179631e-07	0.17674285544730908	126.85815246392217	0.0012705298781513893
1	7000	256	8.860228873268788e-08	0.024700196619804878	504.3959725902953	0.0008053752686256677
1	7000	256	5.708169353291955e-08	5.932432544203899	1185.8424122781446	0.00034093373215354186
1	7000	256	1.5173273839604552e-09	2.61807996467417	1359.429588941284	8.580849397563476e-05
1	7000	256	3.7308561470408993e-07	0.5255227658573582	342.04930010819896	0.00018080030399679942
1	7000	256	5.0995549900415194e-09	0.5735214617326504	4874.689537365086	4.3800781607744904e-05
