epsilon	n	bins	o20	bell	ghazi	ghazi_shuffle
1	41	64	0.0011554639531628568	21.929426884860852	10536.489286486172	0.0011864149246827375
1	41	64	0.0004803801264562894	1.2434318870624774	33039.588013948465	0.002224250963214305
1	41	64	0.0016989303727294616	6.015742471399399	1684.1417087482578	0.0004414567204609373
1	41	64	0.0015695677834171255	17.948762356868873	55380.45143100844	0.021384820185642618
1	41	64	0.04141594356082153	6.015742471399129	31.229962960254607	0.0022119549224996855
1	41	64	0.034557587031113265	6.015742471400783	5428.4171674436375	1.6432037754438096e-05
1	41	64	0.0004976956724482316	0.4472989814640126	1501.175185470979	0.00016168874473634803
1	83	64	0.00014024368027624367	35.685844099868284	96.32114173731422	1.0641847239048337e-06
1	83	64	0.007626163975459208	80.6897207077919	567.7640711841672	0.0022639737597266963
1	83	64	0.004712778851533851	4.811336542538346	96.78164050536384	7.994420014397345e-08
1	83	64	0.00869730659348124	0.8170566695285267	1637.97497309861	0.0022246901532162844
1	83	64	5.818275897722952e-05	0.001953862294352932	106.88541340856652	0.0005147765132063984
1	83	64	0.0064871806552998425	46.69634411783914	110.25028526728963	0.004262819303196551
1	83	64	0.00028456563502261996	0.2247302217678504	326.60486461157205	0.001351300140494041
1	208	64	0.0024824005197037874	0.3837755535838894	27.703435298962347	0.000562163845041897
1	208	64	0.001561683624432831	1.3159875027324255	46.94324578253657	0.0007643681558804337
1	208	64	0.0010452047142122801	0.4725802389025763	199.00855153568597	9.798268994989661e-05
1	208	64	0.0001645319199880914	0.020694737804493435	13.511850815782733	0.0035671123916297216
1	208	64	0.0006285619290513549	1.0551136555533709	73.96958999609764	0.0010862988251937069
1	208	64	3.5986532683160295e-06	2.9127304391560758	10.466396822897334	0.0013975762319039383
1	208	64	0.003102645492283471	0.11007988955555195	49.91188664586533	0.00047995113174631357
1	417	64	0.0003698952393862247	1.8589509325543359	0.016076640979573096	0.0011669058312996404
1	417	64	0.00012606097269783113	0.065330621032208	2.1753291107859374	8.39870243502105e-05
1	417	64	0.0006758072398373884	0.8555244707001065	25.127981843823022	0.003315543126002523
1	417	64	3.501313839627166e-05	0.05451480064996511	7.063465850277821	2.085354012876987e-06
1	417	64	0.002224394780603493	0.3257925417988476	112.25327229225925	2.442701536312348e-07
1	417	64	0.0002769596999997833	0.05451480064999419	37.36267358693498	3.6316504629098805e-05
1	417	64	6.752487224399983e-05	0.01891838857002682	22.709745698205857	0.00031495388272185837
1	625	64	5.4002257004863425e-05	0.0592051377798161	1.1245628887181884	0.0011383500894573957
1	625	64	0.000303589437494623	0.45011677549907986	2.8458459276623245	2.517123561457026e-06
1	625	64	1.4005504082999992e-05	0.5790077833918443	83.10663899795982	0.005544201346355049
1	625	64	0.00022093484552148832	0.4302105773094311	8.124805688454042	0.005695000664708391
1	625	64	4.4575316553215985e-05	0.028649718875434355	18.39603414482823	0.00015303924462360406
1	625	64	0.00019382703983977122	0.420426296406741	17.215070135642343	0.0011116079274141324
1	625	64	0.0004431473040672247	0.013630952863238153	21.215591230734955	0.0034249478465577634
1	834	64	3.333408662134281e-05	0.06335582228975481	11.665823847291264	0.0007525641915100115
1	834	64	4.1237043809305276e-05	0.07906444169901859	13.586836161860466	0.0008819381642571496
1	834	64	0.0003156992483074881	0.23768669384398808	14.373257573970442	7.410886015171986e-06
1	834	64	0.0001221550067098121	0.014131727872738722	23.51674810619321	2.273397220022771e-06
1	834	64	8.009589990099879e-06	0.0041128829534168455	31.881834904416277	0.00028082692262623596
1	834	64	6.132538795107505e-05	0.3032691032520192	41.627257164521694	0.007910836587915655
1	834	64	0.0001876964228204335	0.41389205974136306	11.10205310336141	0.001959583296468176
