epsilon	n	bins	o20	bell	ghazi	ghazi_shuffle
1	41	64	0.048024481189673576	75.7774240920768	216.88310918768298	0.0014090122106930113
1	41	64	0.08497560139085383	56.06282491969026	2564.1049293253195	0.003314376185356894
1	41	64	6.408125910375276e-05	63.71830865551122	7337.769794237464	0.00032603686189386675
1	41	64	0.004973117771499528	63.59199611599034	7020.13353980589	0.004619795640547386
1	41	64	0.010523271201187644	74.66040211463492	11101.594013337737	9.11344231351355e-05
1	41	64	0.0024165120299361616	58.87064321420788	5980.2271726061535	0.007912953451229445
1	41	64	0.08573121390262937	83.23837243053453	21548.60871923973	0.0005367815856653106
1	83	64	0.0005649815156414911	71.99786284985225	11544.015366551848	0.019907277680877272
1	83	64	0.042809442564246666	72.24683744075027	5349.226307279328	0.00042017528681112266
1	83	64	0.014972400655651785	64.9908658942502	67.79272326672027	0.0037583979777844672
1	83	64	0.001355890170425945	67.32841260344495	14341.20118285433	0.04465824443478303
1	83	64	0.0002494056919319436	61.585712694075916	30767.86415214097	5.112591298036605e-06
1	83	64	0.019621270879309767	66.01869076303367	8959.328928955158	0.0016822494368001451
1	83	64	0.008389087957077806	75.30353443510403	2839.883159268534	0.02266817335692547
1	208	64	8.085997519493521e-05	65.41038918825612	581.1067157816798	0.04847960335427447
1	208	64	0.0005068253564720754	64.51308595559951	1080.383256065821	0.004861037343195603
1	208	64	0.0003069789932551695	67.44287850906873	28.901912058273304	0.06333947879213182
1	208	64	3.398509216326704e-05	64.0553655216573	4913.465525462107	0.14468356053002654
1	208	64	0.003819175662562673	63.43811522091968	286.66844911381384	0.05506920503484883
1	208	64	0.0009951984155978524	63.705036524186255	2717.830046004618	0.015806120367271356
1	208	64	0.00015381372523186058	62.468580283210116	234.12060719722786	0.017904563117723742
1	417	64	1.7464710450401536e-06	61.74452140801621	1.1708313414581146	0.048715703037923
1	417	64	3.5291975235435407e-06	62.340215127065846	89.65293643469919	0.005140651864110795
1	417	64	0.0005223605934391508	62.869732645869284	93.62220289862408	0.018786226120448286
1	417	64	7.219880528290907e-05	64.10278517664493	0.09431857409963804	0.053217685663966674
1	417	64	0.0003227022010519819	62.45156616951415	10.993112916175306	0.014965760097539142
1	417	64	2.360109207339964e-05	63.28650710757945	70.71156188407136	0.041184130762095775
1	417	64	0.0003254149206344843	64.01631416442997	125.9754456614238	0.01310762802490754
1	625	64	0.00024057655946122262	63.114785176038126	89.88720358822715	0.058983419608319744
1	625	64	1.7877878226017726e-06	63.66025525553684	86.68599728012438	0.011827387151593441
1	625	64	4.3560107421941164e-05	63.93430201639797	36.54470485077838	0.015544090727902107
1	625	64	0.00024090339900673292	63.190513916933355	15.898931365001955	0.08858746535691824
1	625	64	3.7318496942520623e-07	62.890719221017626	14.745974214163281	0.07022698851232481
1	625	64	0.0004073733376778279	63.21100282111226	162.6042121398647	0.018209131554116662
1	625	64	7.734126946945884e-05	63.64740205585644	75.61987887748249	0.08468155004879474
1	834	64	0.0007262921924636069	63.316211099742155	0.061726880966705276	0.001694821483969908
1	834	64	3.858074402063564e-07	62.7962836555767	3.9458043945595476	0.04310069854174397
1	834	64	6.735840758845202e-07	62.568157489077805	57.85629068707143	0.03198617979500451
1	834	64	6.990554967313609e-06	62.908678408788234	592.9900357875923	0.019801960971138947
1	834	64	8.220714308720043e-05	62.60450875904915	59.096405399221055	0.011020166439462993
1	834	64	4.45439666898305e-05	62.57681593590624	3.54260324248004	0.05665401909641892
1	834	64	2.999751639621429e-06	63.35556161882394	1.8206584728294606	0.024031393662338113
